Solver, Instance, Result
LS-PBO, 2club200v15p5scn.opb, -70.0
DeciLS-PBO, 2club200v15p5scn.opb, -70.0
PBO-IHS, 2club200v15p5scn.opb, -70.0
Hybrid, 2club200v15p5scn.opb, -70.0
SCIP, 2club200v15p5scn.opb, -70.0
Gurobi(comp 1 thread), 2club200v15p5scn.opb, -70.0
Gurobi(heur 1 thread), 2club200v15p5scn.opb, -70.0
LS-PBO-dynamic, 2club200v15p5scn.opb, -70.0
FiberSCIP, 2club200v15p5scn.opb, -70.0
Gurobi(comp 32 thread), 2club200v15p5scn.opb, -70.0
Gurobi(heur 32 thread), 2club200v15p5scn.opb, -70.0
ParLS-PBO, 2club200v15p5scn.opb, -70.0
V1, 2club200v15p5scn.opb, -70.0
V2, 2club200v15p5scn.opb, -70.0
ParLS-PBO(4 thread), 2club200v15p5scn.opb, -70.0
ParLS-PBO(8 thread), 2club200v15p5scn.opb, -70.0
ParLS-PBO(16 thread), 2club200v15p5scn.opb, -70.0
LS-PBO, a2864-99blp.opb, -257.0
DeciLS-PBO, a2864-99blp.opb, -257.0
PBO-IHS, a2864-99blp.opb, N/A
Hybrid, a2864-99blp.opb, -257.0
SCIP, a2864-99blp.opb, -257.0
Gurobi(comp 1 thread), a2864-99blp.opb, -257.0
Gurobi(heur 1 thread), a2864-99blp.opb, -257.0
LS-PBO-dynamic, a2864-99blp.opb, -257.0
FiberSCIP, a2864-99blp.opb, -257.0
Gurobi(comp 32 thread), a2864-99blp.opb, -257.0
Gurobi(heur 32 thread), a2864-99blp.opb, -257.0
ParLS-PBO, a2864-99blp.opb, -257.0
V1, a2864-99blp.opb, -257.0
V2, a2864-99blp.opb, -257.0
ParLS-PBO(4 thread), a2864-99blp.opb, -257.0
ParLS-PBO(8 thread), a2864-99blp.opb, -257.0
ParLS-PBO(16 thread), a2864-99blp.opb, -257.0
LS-PBO, ab51-40-100.opb, -1142123.0
DeciLS-PBO, ab51-40-100.opb, -1143902.0
PBO-IHS, ab51-40-100.opb, -1143902.0
Hybrid, ab51-40-100.opb, -1143902.0
SCIP, ab51-40-100.opb, N/A
Gurobi(comp 1 thread), ab51-40-100.opb, -1285220.0
Gurobi(heur 1 thread), ab51-40-100.opb, -1285220.0
LS-PBO-dynamic, ab51-40-100.opb, -1285220.0
FiberSCIP, ab51-40-100.opb, N/A
